"","parameter","cor(generating, fitted)"
"1","exp",0.917616736559185
"2","k1",0.983953929046993
"3","k2",0.968199856762628
"4","k3",0.971502554220462
"5","k4",0.973620316108218
"6","k5",0.959895519883754
"7","k6",0.927195746123674
"8","k7",0.712050646810633
"9","m1",0.953031384693911
"10","m2",0.93744972373573
"11","m3",0.917190386528143
"12","m4",0.90851871931016
"13","m5",0.878308351800413
"14","m6",0.780390643166865
"15","m7",0.634174288137425
"16","sigma1",0.879408776597151
"17","sigma2",0.958073696084286
"18","sigma3",0.974840309276671
"19","sigma4",0.983585094567634
